[Quant 1h] MLN ΔOI -1.47% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 39.39 | Vol $0.72B
[Quant 1h] ASTER ΔOI +0.76% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 85.76 | Vol $0.73B
[Quant 1h] AUCTION ΔOI -1.44% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 62.22 | Vol $0.71B
[Quant 1h] 1000FLOKI ΔOI -0.55% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 60.11 | Vol $0.49B
[Quant 1h] ZEC ΔOI -3.23% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 69.65 | Vol $0.72B
[Quant 1h] BTC ΔOI -0.54% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 73.43 | Vol $14.85B
[Quant 1h] BNB ΔOI +0.24% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 66.26 | Vol $1.51B
[Quant 1h] ENA ΔOI +0.13% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 50.00 | Vol $0.45B
[Quant 1h] SUI ΔOI +0.99% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 65.68 | Vol $0.47B
[Quant 1h] LINK ΔOI -0.34% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 68.34 | Vol $0.67B
[Quant 1h] AVNT ΔOI -1.77% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 75.96 | Vol $0.50B
[Quant 1h] 币安人生 ΔOI +0.70% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 89.10 | Vol $1.53B
[Quant 1h] SOL ΔOI +0.36% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 69.00 | Vol $4.02B
[QuantSummary 5m] 2025-10-21T05:59:10 - symbols=18
[Quant 5m] AVNT ΔOI -0.07% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 56.09 | Vol $0.50B
[Quant 5m] 1000FLOKI ΔOI +0.03% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 48.15 | Vol $0.49B
[Quant 5m] SUI ΔOI +0.03% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 57.07 | Vol $0.47B
[Quant 5m] SOL ΔOI +0.03% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 48.03 | Vol $4.02B
[Quant 5m] ASTER ΔOI +0.22% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 61.82 | Vol $0.73B
[Quant 5m] BTC ΔOI +0.07% | L/S N/A (0.00%) | TopAcc N/A (0.00%) | RSI 62.39 | Vol $14.84B
